1-1: Time: 123µs, Memory: 1.9 MiB
1-2: Time: 130µs, Memory: 1.3 MiB
2-1: Time: 97µs, Memory: 1.3 MiB
2-2: Time: 68µs, Memory: 1.3 MiB
3-1: Time: 79µs, Memory: 1.3 MiB
3-2: Time: 72µs, Memory: 1.9 MiB
4-1: Time: 1.382ms, Memory: 1.9 MiB
4-2: Time: 1.328ms, Memory: 1.9 MiB
5-1: Time: 852µs, Memory: 1.9 MiB
5-2: Time: 850µs, Memory: 1.9 MiB
6-1: Time: 129µs, Memory: 1.9 MiB
6-2: Time: 371µs, Memory: 1.9 MiB
7-1: Time: 310µs, Memory: 1.9 MiB
7-2: Time: 302µs, Memory: 1.9 MiB
8-1: Time: 140µs, Memory: 1.9 MiB
8-2: Time: 360µs, Memory: 1.9 MiB
9-1: Time: 3.096ms, Memory: 2.6 MiB
9-2: Time: 3.229ms, Memory: 2.3 MiB
10-1: Time: 54µs, Memory: 1.3 MiB
10-2: Time: 374µs, Memory: 1.3 MiB
11-1: Time: 71µs, Memory: 1.9 MiB
11-2: Time: 12.161ms, Memory: 6.3 MiB
12-1: Time: 172µs, Memory: 1.9 MiB
12-2: Time: 171µs, Memory: 1.9 MiB
13-1: Time: 1.894ms, Memory: 2.4 MiB
13-2: Time: 2.487ms, Memory: 2.6 MiB
14-1: Time: 15.9ms, Memory: 3.5 MiB
14-2: Time: 786.864ms, Memory: 7.9 MiB
15-1: Time: 177µs, Memory: 1.3 MiB
15-2: Time: 600µs, Memory: 1.9 MiB
16-1: Time: 75.515ms, Memory: 6.8 MiB
16-2: Time: 150.883ms, Memory: 4.6 MiB
17-1: Time: 856µs, Memory: 2.6 MiB
17-2: Time: 5.035ms, Memory: 6.1 MiB
18-1: Time: 3.724ms, Memory: 2.3 MiB
18-2: Time: 10.272ms, Memory: 4.6 MiB
19-1: Time: 16.591ms, Memory: 1.9 MiB
19-2: Time: 462.916ms, Memory: 1.9 MiB
20-1: Time: 21.66ms, Memory: 1.9 MiB
20-2: Time: 344.576ms, Memory: 2.2 MiB
21-1: Time: 1.471ms, Memory: 2.8 MiB
21-2: Time: 1.362ms, Memory: 2.7 MiB
22-1: Time: 883µs, Memory: 2.1 MiB
22-2: Time: 1.724ms, Memory: 2.1 MiB
23-1: Time: 14.031ms, Memory: 3.9 MiB
23-2: Time: 1.167643s, Memory: 6.4 MiB
24-1: Time: 191.196ms, Memory: 24.4 MiB
24-2: Time: 153.77ms, Memory: 25.4 MiB
25-1: Time: 50µs, Memory: 1.3 MiB
